Template File,Linked File,Type,Selector,Usage Count,Status
management.html,management.css,CSS,.job-status,0,Unused
management.html,management.css,CSS,.job-timeline,0,Unused
management.html,management.css,CSS,.job-timeline-description,0,Unused
management.html,management.css,CSS,.job-timeline-item,0,Unused
management.html,management.css,CSS,.job-timeline-time,0,Unused
management.html,management.css,CSS,.job-title,0,Unused
management.html,management.css,CSS,.loading-spinner,1,Used
management.html,management.css,CSS,.loading-state,1,Used
management.html,management.css,CSS,.modal-body,2,Used
management.html,management.css,CSS,.modal-content,2,Used
management.html,management.css,CSS,.modal-footer,2,Used
management.html,management.css,CSS,.modal-header,2,Used
management.html,management.css,CSS,.page-header,0,Unused
management.html,management.css,CSS,.paused,0,Unused
management.html,management.css,CSS,.required-field,0,Unused
management.html,management.css,CSS,.running,0,Unused
management.html,management.css,CSS,.show,1,Used
management.html,management.css,CSS,.slide-in-right,0,Unused
management.html,management.css,CSS,.spinner-border,0,Unused
management.html,management.css,CSS,.status-active,0,Unused
management.html,management.css,CSS,.status-error,0,Unused
management.html,management.css,CSS,.status-paused,0,Unused
management.html,management.css,CSS,.success,0,Unused
management.html,management.css,CSS,.trigger-config,1,Used
management.html,management.css,CSS,.trigger-info,0,Unused
management.html,management.css,CSS,.util,0,Unused
index.html,index.css,CSS,.Selector,0,Unused
index.html,index.css,CSS,._SimpleNamespaces,0,Unused
index.html,index.css,CSS,.active,0,Unused
index.html,index.css,CSS,.alert,0,Unused
index.html,index.css,CSS,.alert-danger,0,Unused
index.html,index.css,CSS,.alert-info,0,Unused
index.html,index.css,CSS,.alert-success,0,Unused
index.html,index.css,CSS,.alert-warning,0,Unused
index.html,index.css,CSS,.btn,7,Used
index.html,index.css,CSS,.btn-close,1,Used
index.html,index.css,CSS,.btn-danger,1,Used
index.html,index.css,CSS,.btn-info,0,Unused
index.html,index.css,CSS,.btn-outline-primary,1,Used
index.html,index.css,CSS,.btn-primary,1,Used
index.html,index.css,CSS,.btn-secondary,1,Used
index.html,index.css,CSS,.btn-success,0,Unused
index.html,index.css,CSS,.btn-warning,0,Unused
index.html,index.css,CSS,.card-body,2,Used
index.html,index.css,CSS,.categories,0,Unused
index.html,index.css,CSS,.category-business,0,Unused
index.html,index.css,CSS,.category-custom,0,Unused
index.html,index.css,CSS,.category-environment,0,Unused
index.html,index.css,CSS,.category-technical,0,Unused
index.html,index.css,CSS,.css,0,Unused
index.html,index.css,CSS,.disabled,1,Used
index.html,index.css,CSS,.empty-state,0,Unused
index.html,index.css,CSS,.fade-in,0,Unused
index.html,index.css,CSS,.field-description,0,Unused
index.html,index.css,CSS,.form-control,1,Used
index.html,index.css,CSS,.form-group,0,Unused
index.html,index.css,CSS,.form-label,5,Used
index.html,index.css,CSS,.form-select,2,Used
index.html,index.css,CSS,.inactive,0,Unused
index.html,index.css,CSS,.loading-spinner,0,Unused
index.html,index.css,CSS,.loading-state,0,Unused
index.html,index.css,CSS,.modal-body,1,Used
index.html,index.css,CSS,.modal-content,1,Used
index.html,index.css,CSS,.modal-footer,1,Used
index.html,index.css,CSS,.modal-header,1,Used
index.html,index.css,CSS,.page-header,0,Unused
index.html,index.css,CSS,.page-item,4,Used
index.html,index.css,CSS,.page-link,4,Used
index.html,index.css,CSS,.pagination,1,Used
index.html,index.css,CSS,.required-field,0,Unused
index.html,index.css,CSS,.search-filter-card,0,Unused
index.html,index.css,CSS,.search-highlight,0,Unused
index.html,index.css,CSS,.slide-in-right,0,Unused
index.html,index.css,CSS,.spinner-border,0,Unused
index.html,index.css,CSS,.stats-card,0,Unused
index.html,index.css,CSS,.stats-label,0,Unused
index.html,index.css,CSS,.stats-number,0,Unused
index.html,index.css,CSS,.tag-actions,0,Unused
index.html,index.css,CSS,.tag-card,0,Unused
index.html,index.css,CSS,.tag-card-body,0,Unused
index.html,index.css,CSS,.tag-card-footer,0,Unused
index.html,index.css,CSS,.tag-card-header,0,Unused
index.html,index.css,CSS,.tag-category,0,Unused
index.html,index.css,CSS,.tag-color-preview,0,Unused
index.html,index.css,CSS,.tag-description,0,Unused
index.html,index.css,CSS,.tag-details,0,Unused
index.html,index.css,CSS,.tag-icon,0,Unused
index.html,index.css,CSS,.tag-info,0,Unused
index.html,index.css,CSS,.tag-meta,0,Unused
index.html,index.css,CSS,.tag-meta-item,0,Unused
index.html,index.css,CSS,.tag-name,0,Unused
index.html,index.css,CSS,.tag-stat-item,0,Unused
index.html,index.css,CSS,.tag-stat-label,0,Unused
index.html,index.css,CSS,.tag-stat-number,0,Unused
index.html,index.css,CSS,.tag-stats,0,Unused
index.html,index.css,CSS,.tag-status,0,Unused
index.html,index.css,CSS,.tag-usage,0,Unused
index.html,index.css,CSS,.tag-usage-item,0,Unused
index.html,index.css,CSS,.tag-usage-list,0,Unused
index.html,index.css,CSS,.tag-usage-title,0,Unused
index.html,index.css,CSS,.total,0,Unused
index.html,index.css,CSS,.util,0,Unused
overview.html,overview.css,CSS,.Selector,0,Unused
overview.html,overview.css,CSS,._SimpleNamespaces,0,Unused
overview.html,overview.css,CSS,.active,0,Unused
overview.html,overview.css,CSS,.auto-refresh-btn,0,Unused
overview.html,overview.css,CSS,.auto-refresh-indicator,0,Unused
overview.html,overview.css,CSS,.bg-info,0,Unused
overview.html,overview.css,CSS,.bg-primary,0,Unused
overview.html,overview.css,CSS,.bg-success,1,Used
overview.html,overview.css,CSS,.bg-warning,1,Used
overview.html,overview.css,CSS,.btn,2,Used
overview.html,overview.css,CSS,.btn-group,0,Unused
overview.html,overview.css,CSS,.card-body,7,Used
overview.html,overview.css,CSS,.card-header,2,Used
overview.html,overview.css,CSS,.card-title,7,Used
overview.html,overview.css,CSS,.chart-container,1,Used
overview.html,overview.css,CSS,.chart-legend,0,Unused
overview.html,overview.css,CSS,.chart-legend-color,0,Unused
overview.html,overview.css,CSS,.chart-legend-item,0,Unused
overview.html,overview.css,CSS,.chart-loading,0,Unused
overview.html,overview.css,CSS,.chart-title,0,Unused
overview.html,overview.css,CSS,.css,0,Unused
overview.html,overview.css,CSS,.data-updated,0,Unused
overview.html,overview.css,CSS,.empty-data,0,Unused
overview.html,overview.css,CSS,.error-message,0,Unused
overview.html,overview.css,CSS,.fade-in,0,Unused
overview.html,overview.css,CSS,.high,0,Unused
overview.html,overview.css,CSS,.inactive,0,Unused
overview.html,overview.css,CSS,.loading-overlay,0,Unused
overview.html,overview.css,CSS,.low,0,Unused
overview.html,overview.css,CSS,.medium,0,Unused
overview.html,overview.css,CSS,.overview-card,0,Unused
overview.html,overview.css,CSS,.page-title,0,Unused
overview.html,overview.css,CSS,.progress,3,Used
overview.html,overview.css,CSS,.progress-bar,3,Used
overview.html,overview.css,CSS,.refresh-btn,0,Unused
overview.html,overview.css,CSS,.resource-badge,0,Unused
overview.html,overview.css,CSS,.resource-card,0,Unused
overview.html,overview.css,CSS,.resource-item,0,Unused
overview.html,overview.css,CSS,.resource-label,0,Unused
overview.html,overview.css,CSS,.resource-name,0,Unused
overview.html,overview.css,CSS,.resource-value,0,Unused
overview.html,overview.css,CSS,.spinner-border,0,Unused
overview.html,overview.css,CSS,.stat-card,5,Used
overview.html,overview.css,CSS,.stat-icon,0,Unused
overview.html,overview.css,CSS,.stat-label,0,Unused
overview.html,overview.css,CSS,.stat-number,0,Unused
overview.html,overview.css,CSS,.stats-grid,0,Unused
overview.html,overview.css,CSS,.status-card,0,Unused
overview.html,overview.css,CSS,.status-error,0,Unused
overview.html,overview.css,CSS,.status-grid,0,Unused
overview.html,overview.css,CSS,.status-healthy,0,Unused
overview.html,overview.css,CSS,.status-indicator,3,Used
overview.html,overview.css,CSS,.status-item,0,Unused
overview.html,overview.css,CSS,.status-label,0,Unused
overview.html,overview.css,CSS,.status-value,0,Unused
overview.html,overview.css,CSS,.status-warning,0,Unused
overview.html,overview.css,CSS,.success-message,0,Unused
overview.html,overview.css,CSS,.time-display,0,Unused
overview.html,overview.css,CSS,.uptime-display,0,Unused
overview.html,overview.css,CSS,.util,0,Unused
overview.html,overview.css,CSS,.warning-message,0,Unused
tag_selector.html,tag_selector.css,CSS,#tagSelectorModal,1,Used
tag_selector.html,tag_selector.css,CSS,.Selector,0,Unused
tag_selector.html,tag_selector.css,CSS,._SimpleNamespaces,0,Unused
tag_selector.html,tag_selector.css,CSS,.active,2,Used
tag_selector.html,tag_selector.css,CSS,.add,0,Unused
